food_id,food_code,duplicate_code_sequence,source_row_index,food_name,search_name,description,group_code,previous_code,main_data_references,footnote
12-506,12-506,1,1114,"Fat spread, reduced fat (62-75%), not polyunsaturated","fat spread, reduced fat (62-75%), not polyunsaturated 10 samples, 5 products, including clover and own brands","10 samples, 5 products, including Clover and own brands",OA,17-022 17-460 17-015,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",
17-710,17-710,1,1115,"Fat spread, reduced fat (62-75%), polyunsaturated","fat spread, reduced fat (62-75%), polyunsaturated 5 samples, including flora buttery spread and pure sunflower, dairy free","5 samples, including Flora buttery spread and Pure Sunflower, dairy free",OA,17-551,"Miscellaneous Foods Supplement, 1994; and industry data, 2013. Data estimated from 17-023 and fat from Fatty Acids Supplement (17-470)","Flora contains 70.0g fat, 15.5g satd, 20.91 cis n-9 monounsatd, 31.53g cis n-6 and 1.41g cis n-3 polyunsatd, 0.64g trans per 100g food"
14-090,14-090,1,1116,"Feijoa, flesh only","feijoa, flesh only literature sources",Literature sources,FA,,Visser and Burrows (1983) Composition of New Zealand foods. 1. Characteristic fruits and vegetables. DSIR Bulletin 235,
13-827,13-827,1,1117,Fennel seeds,fennel seeds literature sources,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",
13-542,13-542,1,1118,"Fennel, Florence, boiled in unsalted water","fennel, florence, boiled in unsalted water as raw, boiled for 14 minutes, based on boiled in salted water","As raw, boiled for 14 minutes, based on boiled in salted water",DG,,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
13-241,13-241,1,1119,"Fennel, Florence, raw","fennel, florence, raw inner leaves and bulb only",Inner leaves and bulb only,DG,50-770,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
13-243,13-243,1,1120,"Fenugreek leaves, raw","fenugreek leaves, raw literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-828,13-828,1,1121,Fenugreek seeds,fenugreek seeds literature sources,Literature sources,H,,"Vegetables, Herbs and Spices Supplement, 1991",
11-805,11-805,1,1122,Fig Rolls,"fig rolls 10 samples, 5 products","10 samples, 5 products",AM,11-409,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",
14-093,14-093,1,1123,"Figs, dried, stewed with sugar","figs, dried, stewed with sugar calculated from 450g fruit, 450g water, 54g sugar","Calculated from 450g fruit, 450g water, 54g sugar",FA,,"Fruit and Nuts Supplement, 1992",
14-094,14-094,1,1124,"Figs, dried, stewed without sugar","figs, dried, stewed without sugar calculated from 450g fruit, 450g water","Calculated from 450g fruit, 450g water",FA,,"Fruit and Nuts Supplement, 1992",
14-395,14-395,1,1125,"Figs, ready-to-eat, semi-dried","figs, ready-to-eat, semi-dried 10 samples, 9 products","10 samples, 9 products",FA,14-095,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
14-092,14-092,1,1126,"Figs, whole fruit, dried","figs, whole fruit, dried analysis and literature sources",Analysis and literature sources,FA,50-889,"Fruit and Nuts Supplement, 1992",
14-091,14-091,1,1127,"Figs, whole green fruit, raw","figs, whole green fruit, raw analysis and literature sources;",Analysis and literature sources;,FA,,"Fruit and Nuts Supplement, 1992",
16-279,16-279,1,1128,"Fish balls, steamed","fish balls, steamed 7 varieties from different chinese shops",7 varieties from different Chinese shops,JR,,"Fish and Fish Products Supplement, 1993",
16-444,16-444,1,1129,"Fish fingers, cod, fried in rapeseed oil","fish fingers, cod, fried in rapeseed oil calculated from grilled/baked 16-405 using analysed water and fat values",Calculated from grilled/baked 16-405 using analysed water and fat values,JR,16-289,"DH, Nutrient analysis of fish and fish products, 2013",
16-445,16-445,1,1130,"Fish fingers, cod, fried in sunflower oil","fish fingers, cod, fried in sunflower oil calculated from grilled/baked 16-405 using analysed water and fat values",Calculated from grilled/baked 16-405 using analysed water and fat values,JR,16-291,"DH, Nutrient analysis of fish and fish products, 2013",
16-405,16-405,1,1131,"Fish fingers, cod, grilled/baked","fish fingers, cod, grilled/baked 10 samples, 7 products, frozen","10 samples, 7 products, frozen",JR,16-288,"DH, Nutrient analysis of fish and fish products, 2013",
16-371,16-371,1,1132,"Fish fingers, pollock, grilled","fish fingers, pollock, grilled 10 samples, 6 products","10 samples, 6 products",JR,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",
16-406,16-406,1,1133,"Fish fingers, salmon, grilled/baked","fish fingers, salmon, grilled/baked 5 samples, 2 products, frozen","5 samples, 2 products, frozen",JR,,"DH, Nutrient analysis of fish and fish products, 2013",
16-450,16-450,1,1134,Fish paste,"fish paste 30 samples, sardine, crab, lobster and salmon","30 samples, sardine, crab, lobster and salmon",JR,16-334,"Fish and Fish Products Supplement, 1993; and industry data, 2013. Iron from LGC 'The determination of different forms of Iron in foodstuffs' 1997, Food Surveillance Information sheet No.117.",
16-458,16-458,1,1135,"Fishcakes, cod, homemade","fishcakes, cod, homemade recipe",Recipe,JR,16-352,Updated 2014,
16-408,16-408,1,1136,"Fishcakes, salmon, coated in breadcrumbs, baked","fishcakes, salmon, coated in breadcrumbs, baked 8 samples, 8 products, frozen and chilled","8 samples, 8 products, frozen and chilled",JR,,"DH, Nutrient analysis of fish and fish products, 2013",
16-459,16-459,1,1137,"Fishcakes, salmon, homemade","fishcakes, salmon, homemade recipe",Recipe,JR,16-353,Updated 2014,
16-407,16-407,1,1138,"Fishcakes, white fish, coated in breadcrumbs, baked","fishcakes, white fish, coated in breadcrumbs, baked 12 samples, 12 products, frozen and chilled","12 samples, 12 products, frozen and chilled",JA,16-281,"DH, Nutrient analysis of fish and fish products, 2013",
11-1066,11-1066,1,1139,"Flan case, pastry, homemade","flan case, pastry, homemade recipe",Recipe,AS,11-698,Updated 2014,
11-1067,11-1067,1,1140,"Flan case, sponge, homemade","flan case, sponge, homemade recipe",Recipe,AS,11-699,Updated 2014,
15-796,15-796,1,1141,"Flan, cheese and mushroom, homemade","flan, cheese and mushroom, homemade recipe from dietary survey records",Recipe from dietary survey records,DR,15-515,Updated 2014,
15-797,15-797,1,1142,"Flan, cheese and mushroom, wholemeal, homemade","flan, cheese and mushroom, wholemeal, homemade recipe from dietary survey records",Recipe from dietary survey records,DR,15-516,Updated 2014,
15-798,15-798,1,1143,"Flan, cheese, onion and potato, homemade","flan, cheese, onion and potato, homemade recipe from dietary survey records",Recipe from dietary survey records,DR,15-517,Updated 2014,
15-799,15-799,1,1144,"Flan, cheese, onion and potato, wholemeal, homemade","flan, cheese, onion and potato, wholemeal, homemade recipe from dietary survey records",Recipe from dietary survey records,DR,15-518,Updated 2014,
15-800,15-800,1,1145,"Flan, lentil and tomato, homemade","flan, lentil and tomato, homemade recipe",Recipe,DR,15-519,Updated 2014,
15-801,15-801,1,1146,"Flan, lentil and tomato, wholemeal, homemade","flan, lentil and tomato, wholemeal, homemade recipe",Recipe,DR,15-520,Updated 2014,
11-1069,11-1069,1,1147,"Flan, pastry, with fruit, homemade","flan, pastry, with fruit, homemade recipe. apple and tinned gooseberry, plum, rhubarb","Recipe. Apple and tinned gooseberry, plum, rhubarb",AS,11-700,Updated 2014,
15-802,15-802,1,1148,"Flan, spinach, homemade","flan, spinach, homemade recipe",Recipe,DR,15-521,Updated 2014,
15-803,15-803,1,1149,"Flan, spinach, wholemeal, homemade","flan, spinach, wholemeal, homemade recipe",Recipe,DR,15-522,Updated 2014,
11-1070,11-1070,1,1150,"Flan, sponge, with fruit, homemade","flan, sponge, with fruit, homemade recipe. apple and tinned gooseberry, plum, rhubarb","Recipe. Apple and tinned gooseberry, plum, rhubarb",AS,11-701,Updated 2014,
15-804,15-804,1,1151,"Flan, vegetable, homemade","flan, vegetable, homemade recipe from dietary survey records and dissection of shop-bought samples, containing short crust pastry, carrots, broccoli, cheese, white sauce and onions","Recipe from dietary survey records and dissection of shop-bought samples, containing short crust pastry, carrots, broccoli, cheese, white sauce and onions",DR,15-372,"Updated 2014. Vitamin K1 from Bolton-Smith et al, Br. J. Nutr 83, 2000",
15-805,15-805,1,1152,"Flan, vegetable, wholemeal, homemade","flan, vegetable, wholemeal, homemade recipe from dietary survey records and dissection of shop-bought samples",Recipe from dietary survey records and dissection of shop-bought samples,DR,15-523,Updated 2014,
11-1071,11-1071,1,1153,"Flapjacks, homemade","flapjacks, homemade recipe",Recipe,AM,11-571,Updated 2014,
11-814,11-814,1,1154,"Flapjacks, retail","flapjacks, retail 10 samples, 9 products","10 samples, 9 products",AM,,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",
11-1128,11-1128,1,1155,"Flapjacks, retail, chocolate covered","flapjacks, retail, chocolate covered recipe",Recipe,AM,,Updated 2014,
16-041,16-041,1,1156,"Flounder, flesh only, steamed","flounder, flesh only, steamed analysis and calculation from raw, whole fish without heads","Analysis and calculation from raw, whole fish without heads",JA,,"Fish and Fish Products Supplement, 1993",
16-042,16-042,1,1157,"Flounder, flesh only, steamed, weighed with bones and skin","flounder, flesh only, steamed, weighed with bones and skin fish and fish products supplement, 1993","Fish and Fish Products Supplement, 1993",JA,,"Fish and Fish Products Supplement, 1993",
16-040,16-040,1,1158,"Flounder, raw","flounder, raw literature sources",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",
11-895,11-895,1,1159,"Flour, chapati, brown","flour, chapati, brown 7 samples, 5 products","7 samples, 5 products",AA,11-433,"LGC, Nutrient survey of flours and grains, 2005",
11-894,11-894,1,1160,"Flour, chapati, white","flour, chapati, white 7 samples, 6 products","7 samples, 6 products",AA,11-434,Nutrient survey of flours and grains 2005,
11-1045,11-1045,1,1161,"Flour, corn","flour, corn 6 samples, 5 products","6 samples, 5 products",AA,,"LGC, Nutrient survey of flours and grains, 2005; and MW4, 1978",
11-899,11-899,1,1162,"Flour, gari (cassava flour)","flour, gari (cassava flour) 4 samples, 2 products","4 samples, 2 products",AA,,Flours and grains project 2005,
11-896,11-896,1,1163,"Flour, gram","flour, gram 7 samples, 5 product","7 samples, 5 product",AA,13-073,Nutrient survey of flours and grains 2005,
11-016,11-016,1,1164,"Flour, millet, foxtail","flour, millet, foxtail literature sources",Literature sources,AA,,"Wu Leung, et al. (1972) Food composition table for use in East Asia",
11-021,11-021,1,1165,"Flour, rice","flour, rice literature sources",Literature sources,AA,,Wu Leung et al. (1972) Food composition table for use in East Asia,
11-897,11-897,1,1166,"Flour, rye","flour, rye 4 samples, 3 products","4 samples, 3 products",AA,11-436,"LGC, Nutrient survey of flours and grains, 2005",
11-898,11-898,1,1167,"Flour, soya","flour, soya 4 samples, 3 products","4 samples, 3 products",AA,11-025,"LGC, Nutrient survey of flours and grains, 2005",
11-887,11-887,1,1168,"Flour, wheat, bread/strong, white","flour, wheat, bread/strong, white 10 samples, 9 products","10 samples, 9 products",AA,11-438,"LGC, Nutrient survey of flours and grains, 2005",
11-892,11-892,1,1169,"Flour, wheat, brown","flour, wheat, brown 4 samples, 2 products, 81% extraction","4 samples, 2 products, 81% extraction",AA,11-437,"LGC, Nutrient survey of flours and grains, 2005",
11-893,11-893,1,1170,"Flour, wheat, brown, bread/strong","flour, wheat, brown, bread/strong 8 samples, 5 products","8 samples, 5 products",AA,,"LGC, Nutrient survey of flours and grains, 2005",
11-886,11-886,1,1171,"Flour, wheat, white, plain, soft","flour, wheat, white, plain, soft 14 samples, 12 products","14 samples, 12 products",AA,11-439,"LGC, Nutrient survey of flours and grains, 2005",
11-888,11-888,1,1172,"Flour, wheat, white, self raising","flour, wheat, white, self raising 12 samples, 10 samples","12 samples, 10 samples",AA,11-440,"LGC, Nutrient survey of flours and grains, 2005",
11-889,11-889,1,1173,"Flour, wheat, wholemeal","flour, wheat, wholemeal 8 samples, 6 products","8 samples, 6 products",AA,11-441,"LGC, Nutrient survey of flours and grains, 2005",
11-890,11-890,1,1174,"Flour, wheat, wholemeal, bread/strong","flour, wheat, wholemeal, bread/strong 8 samples, 6 products","8 samples, 6 products",AA,,"LGC, Nutrient survey of flours and grains, 2005",
11-891,11-891,1,1175,"Flour, wheat, wholemeal, self raising","flour, wheat, wholemeal, self raising 8 samples, 5 products","8 samples, 5 products",AA,,"LGC, Nutrient survey of flours and grains, 2005",
16-043,16-043,1,1176,"Flying fish, raw","flying fish, raw literature sources",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",
19-495,19-495,1,1177,Frankfurter,"frankfurter 10 samples, 7 brands of continental style frankfurters. 75-90% meat","10 samples, 7 brands of continental style frankfurters. 75-90% meat",MI,,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",
19-581,19-581,1,1178,Frankfurter with bun,frankfurter with bun recipe,Recipe,MI,19-581,Updated 2014,
19-582,19-582,1,1179,"Frankfurter with bun, ketchup, fried onions and mustard","frankfurter with bun, ketchup, fried onions and mustard recipe",Recipe,MI,19-367,Updated 2014,
12-534,12-534,1,1180,"Fromage frais, fruit, children's, fortified","fromage frais, fruit, children's, fortified including munch bunch, petits filous, muller little stars and other/own brands","Including Munch Bunch, Petits Filous, Muller Little Stars and other/own brands",BNS,12-908,Industry data 2013; and estimates from analytical data,
12-372,12-372,1,1181,"Fromage frais, virtually fat free, fruit","fromage frais, virtually fat free, fruit 11 samples, 6 brands, including strawberry, raspberry, apricot and blackcherry flavour","11 samples, 6 brands, including strawberry, raspberry, apricot and blackcherry flavour",BN,50-241 12-160,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; fats, inorganics and vitamins estimated from plain and fruit Milk Products and Eggs Supplement 12-160",
12-528,12-528,1,1182,"Fromage frais, virtually fat free, natural","fromage frais, virtually fat free, natural 7 samples, 6 brands","7 samples, 6 brands",BN,12-371,"Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998; vitamins and fats estimated from very low fat fromage frais 50-241",
14-336,14-336,1,1183,"Fruit cocktail, canned in juice, whole contents","fruit cocktail, canned in juice, whole contents 10 samples, 6 brands. drained proportion = 0.65","10 samples, 6 brands. Drained proportion = 0.65",FA,14-096,"LGC, Nutritional composition of fruit products, 1985-1986; LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",
14-097,14-097,1,1184,"Fruit cocktail, canned in syrup, whole contents","fruit cocktail, canned in syrup, whole contents analysis and calculation from recipe proportions (pears 42%, peaches 41%, pineapple 8%, grapes 5% and cherries 4%). drained proportion = 0.66","Analysis and calculation from recipe proportions (pears 42%, peaches 41%, pineapple 8%, grapes 5% and cherries 4%). Drained proportion = 0.66",FA,50-892,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990; and calculated from recipe proportions","Calculated as pears 42%, peaches 41%, pineapple 8%, grapes 5% and cherries 4%"
12-232,12-232,1,1185,"Fruit fool, homemade","fruit fool, homemade recipe",Recipe,BR,12-913,As Milk Products and Eggs Supplement (1989) 12-232. Fatty acid data is available for commercial fruit fool in Fatty Acid Supplement 12-913 (obsoleted) but is not comparableto this code.,
17-107,17-107,1,1186,Fruit gums/jellies,"fruit gums/jellies 11 samples, 10 brands; assorted flavours","11 samples, 10 brands; assorted flavours",SEC,50-1026,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",
17-673,17-673,1,1187,"Fruit juice drink, carbonated, no added sugar, ready to drink","fruit juice drink, carbonated, no added sugar, ready to drink estimated from fruit juice drink, carbonated and from label data","Estimated from fruit juice drink, carbonated and from label data",PCA,,"Industry data, 2013",
17-735,17-735,1,1188,"Fruit juice drink, carbonated, ready to drink","fruit juice drink, carbonated, ready to drink bottles and cans; orange, lemon, apple and tropical fruit flavours e.g. citrus spring, fanta, orangina and tango","Bottles and cans; orange, lemon, apple and tropical fruit flavours e.g. Citrus Spring, Fanta, Orangina and Tango",PCA,17-177,"Industry data, 1999 and 2013",
17-742,17-742,1,1189,"Fruit juice drink, no added sugar, ready to drink","fruit juice drink, no added sugar, ready to drink typically less than 3% sugar, as purchased. 10 samples, 2 brands","Typically less than 3% sugar, as purchased. 10 samples, 2 brands",PCC,17-196,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",
17-847,17-847,1,1190,"Fruit juice drink/squash, diluted","fruit juice drink/squash, diluted calculated from 50g concentrate to 200ml water",Calculated from 50g concentrate to 200ml water,PCC,17-190,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",
17-846,17-846,1,1191,"Fruit juice drink/squash, no sugar added, diluted","fruit juice drink/squash, no sugar added, diluted calculated from 50g concentrate to 200ml water",Calculated from 50g concentrate to 200ml water,PCC,17-192,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",
17-739,17-739,1,1192,"Fruit juice drink/squash, no sugar added, undiluted","fruit juice drink/squash, no sugar added, undiluted 10 samples, 2 brands; lemon, orange and mixed fruit flavours, typicall less than 3% sugar","10 samples, 2 brands; lemon, orange and mixed fruit flavours, typicall less than 3% sugar",PCC,17-191,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",
17-741,17-741,1,1193,"Fruit juice drink/squash, ready to drink","fruit juice drink/squash, ready to drink lemon, orange, apple and mixed fruit flavours, as purchased","Lemon, orange, apple and mixed fruit flavours, as purchased",PCC,17-195,"LFRA, Nutritional analysis of soft drinks, 1993",
17-738,17-738,1,1194,"Fruit juice drink/squash, undiluted","fruit juice drink/squash, undiluted lemon, orange, apple and mixed fruit flavours","Lemon, orange, apple and mixed fruit flavours",PCC,17-189,"LFRA, Nutritional analysis of soft drinks, 1993; and industry data, 2013",
17-746,17-746,1,1195,"Fruit juice, mixed","fruit juice, mixed estimated from apple and orange juice and industry data, 2013","Estimated from apple and orange juice and industry data, 2013",PE,,"DH, Nutrient analysis of fruit and vegetables, 2013; and industry data, 2013",
17-824,17-824,1,1196,Fruit pastilles,fruit pastilles 6 samples of different brands; assorted flavours,6 samples of different brands; assorted flavours,SEC,17-108,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",
14-333,14-333,1,1197,"Fruit salad, homemade","fruit salad, homemade recipe, including apples, oranges, bananas, kiwi fruit, grapes, strawberries, sugar and water","Recipe, including apples, oranges, bananas, kiwi fruit, grapes, strawberries, sugar and water",FA,14-303,Recipe from NDNS survey. Updated 2013,
17-683,17-683,1,1198,"Fudge, homemade","fudge, homemade recipe",Recipe,SEC,17-518,Updated 2013,
15-806,15-806,1,1199,"Fu-fu, sweet potato, homemade","fu-fu, sweet potato, homemade recipe. west indian/african dish. sweet potato and rice flour.",Recipe. West Indian/African dish. Sweet potato and rice flour.,DR,15-524,Updated 2014,
15-807,15-807,1,1200,"Fu-fu, yam, homemade","fu-fu, yam, homemade recipe. west indian/african dish. yam and rice flour.",Recipe. West Indian/African dish. Yam and rice flour.,DR,15-525,Updated 2014,
11-913,11-913,1,1201,Gajjeralla,"gajjeralla 6 samples, 3 retail, 3 homemade, hot dessert of carrots cooked in cream","6 samples, 3 retail, 3 homemade, hot dessert of carrots cooked in cream",AS,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",
13-829,13-829,1,1202,Garam masala,garam masala literature sources,Literature sources,H,50-841,"Wharton et al. (1983) Sorrento Asian food tables: food tables, recipes and customs of mothers attending Sorrento Maternity Hospital, Birmingham, England",
15-642,15-642,1,1203,"Garlic mushrooms, not coated, homemade","garlic mushrooms, not coated, homemade recipe from review of recipe collection",Recipe from review of recipe collection,DR,15-373,Updated 2013,
13-830,13-830,1,1204,Garlic powder,garlic powder literature sources and calculation from fresh,Literature sources and calculation from fresh,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2, and calculation from raw",
13-244,13-244,1,1205,"Garlic, raw","garlic, raw peeled cloves",Peeled cloves,DG,50-772,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
11-526,11-526,1,1206,"Gateau, chocolate based, frozen","gateau, chocolate based, frozen 11 samples, including black forest gateau.","11 samples, including Black Forest gateau.",AN,11-421,"RHM, Nutrient content of selected foods, 1995; fatty acid data from Fatty Acids Supplement (1998) 11-421",
11-530,11-530,1,1207,"Gateau, fruit, frozen","gateau, fruit, frozen 10 samples; fruit and cream sponge including strawberry, orange and lemon and tropical fruit","10 samples; fruit and cream sponge including strawberry, orange and lemon and tropical fruit",AN,11-420,"RHM, Nutrient content of selected foods, 1995; fats from Fatty Acids Supplement (1998) 11-420",
17-360,17-360,1,1208,Gelatine,gelatine literature sources,Literature sources,WY,50-1176,"Reviewed 2013. Lewis and English (1990) Composition of foods, Australia. Volume 5, nuts and legumes, beverages, miscellaneous foods. Department of Community Services and Health, Canberra",
12-502,12-502,1,1209,Ghee made from vegetable oil,"ghee made from vegetable oil 5 samples, 3 products","5 samples, 3 products",BTM,17-009,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",
17-640,17-640,1,1210,"Ghee, butter","ghee, butter 10 samples, 7 retail, 3 homemade","10 samples, 7 retail, 3 homemade",OF,17-007,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",
13-246,13-246,1,1211,"Gherkins, pickled, drained","gherkins, pickled, drained 10 samples, 5 brands","10 samples, 5 brands",DG,50-773,"Reviewed 2013. Vegetables, Herbs and Spices Supplement, 1991",
13-245,13-245,1,1212,"Gherkins, raw","gherkins, raw 5 samples. ends trimmed",5 samples. Ends trimmed,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
18-394,18-394,1,1213,"Giblets, chicken, boiled","giblets, chicken, boiled mixed sample including heart, liver and gizzard","Mixed sample including heart, liver and gizzard",MG,,"LGC, Poultry and game surveys, 1983-1984",
18-393,18-393,1,1214,"Giblets, chicken, raw","giblets, chicken, raw mixed sample including heart, liver and gizzard","Mixed sample including heart, liver and gizzard",MG,,"LGC, Poultry and game surveys, 1983-1984",
18-395,18-395,1,1215,"Giblets, turkey, boiled","giblets, turkey, boiled mixed sample including heart, liver, gizzard and neck","Mixed sample including heart, liver, gizzard and neck",MG,,"LGC, Poultry and game surveys, 1983-1984",
13-890,13-890,1,1216,"Ginger, fresh","ginger, fresh literature sources",Literature sources,H,13-831,"USDA SR26, 2013",
13-832,13-832,1,1217,"Ginger, ground","ginger, ground 3 samples and literature sources",3 samples and literature sources,H,13-865,"Reviewed 2013. Vegetables, Herbs and Spices Supplement, 1991 (13-832) with fatty acids from LGC (1987) and phytosterols from 13-865, and Marsh et al (1977) Composition of foods: spices and herbs, raw, processed and prepared",
11-1079,11-1079,1,1218,"Gingerbread, homemade","gingerbread, homemade recipe",Recipe,AN,11-644,Updated 2014,
17-049,17-049,1,1219,"Glucose liquid, BP","glucose liquid, bp 1 sample",1 sample,SC,50-1000,"MW4, 1978. Values reviewed for Miscellaneous Foods Supplement, 1994",
18-375,18-375,1,1220,"Goose, meat, raw, fat and skin","goose, meat, raw, fat and skin 5 samples; meat, fat and skin = 0.66 of dressed carcase","5 samples; meat, fat and skin = 0.66 of dressed carcase",MCE,,"LGC, Poultry and game surveys, 1983-1984",
18-376,18-376,1,1221,"Goose, meat, roasted, fat and skin","goose, meat, roasted, fat and skin 5 samples; meat, fat and skin = 0.65 of dressed carcase","5 samples; meat, fat and skin = 0.65 of dressed carcase",MCE,50-449,"Reviewed 2013. LGC, Poultry and game surveys, 1983-1984",
14-100,14-100,1,1222,"Gooseberries, cooking, raw","gooseberries, cooking, raw tops and tails removed",Tops and tails removed,FA,50-895,"LGC, Nutritional composition of fresh fruit, 1985-1986",
14-101,14-101,1,1223,"Gooseberries, cooking, stewed with sugar","gooseberries, cooking, stewed with sugar 1000g fruit, 150g water, 120g sugar","1000g fruit, 150g water, 120g sugar",FA,50-896,"Reviewed 2013. LGC, Nutritional composition of fresh fruit, 1985-1986",
14-102,14-102,1,1224,"Gooseberries, cooking, stewed without sugar","gooseberries, cooking, stewed without sugar 500g fruit, 100g water and calculation from 14-101","500g fruit, 100g water and calculation from 14-101",FA,50-897,"LGC, Nutritional composition of fresh fruit, 1985-1986",
14-103,14-103,1,1225,"Gooseberries, dessert, raw","gooseberries, dessert, raw tops and tails removed",Tops and tails removed,FA,,"LGC, Nutritional composition of fresh fruit, 1985-1986",
19-583,19-583,1,1226,"Goulash, homemade","goulash, homemade recipe",Recipe,MR,19-340,Updated 2014,
13-248,13-248,1,1227,"Gourd, ash, raw","gourd, ash, raw literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-249,13-249,1,1228,"Gourd, bottle, raw","gourd, bottle, raw literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-250,13-250,1,1229,"Gourd, kantola, raw","gourd, kantola, raw 3 samples. ends trimmed, seeds removed","3 samples. Ends trimmed, seeds removed",DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-252,13-252,1,1230,"Gourd, karela, raw","gourd, karela, raw 5 samples. ends trimmed",5 samples. Ends trimmed,DG,50-774,"Vegetables, Herbs and Spices Supplement, 1991",
13-254,13-254,1,1231,"Gourd, ridge, raw","gourd, ridge, raw 5 samples. tough skin removed",5 samples. Tough skin removed,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-255,13-255,1,1232,"Gourd, snake, raw","gourd, snake, raw literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
13-256,13-256,1,1233,"Gourd, tinda, raw","gourd, tinda, raw literature sources",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",
17-745,17-745,1,1234,"Grape juice, unsweetened","grape juice, unsweetened 10 samples, 6 brands; 100% red juice","10 samples, 6 brands; 100% red juice",PE,14-273,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",
14-275,14-275,1,1235,"Grapefruit juice, unsweetened","grapefruit juice, unsweetened 50 samples; cartons, canned, bottled and frozen","50 samples; cartons, canned, bottled and frozen",PE,50-1089,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",Frozen samples were diluted as per manufacturers' instructions prior to analysis
14-107,14-107,1,1236,"Grapefruit, canned in juice, whole contents","grapefruit, canned in juice, whole contents 10 samples, 8 brands. drained proportion = 0.52","10 samples, 8 brands. Drained proportion = 0.52",FA,50-901,"Reviewed 2013. LGC, Nutritional composition of fruit products, 1985-1986",
14-384,14-384,1,1237,"Grapefruit, flesh only, raw","grapefruit, flesh only, raw 11 samples, imported, pink, red and white","11 samples, imported, pink, red and white",FA,14-292,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
14-385,14-385,1,1238,"Grapefruit, flesh only, raw, weighed with peel and pips","grapefruit, flesh only, raw, weighed with peel and pips calculated from 14-384",Calculated from 14-384,FA,14-304,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
14-350,14-350,1,1239,"Grapes, average","grapes, average average of green (14-322) and red grapes (14-323)",Average of green (14-322) and red grapes (14-323),FA,14-109,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-351,14-351,1,1240,"Grapes, average, weighed with pips","grapes, average, weighed with pips calculated from average grapes (14-350) using edible conversion factor of 0.98",Calculated from average grapes (14-350) using edible conversion factor of 0.98,FA,14-110,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-322,14-322,1,1241,"Grapes, green","grapes, green 21 samples, seedless, autumn and winter, including crimson, flame","21 samples, seedless, autumn and winter, including Crimson, Flame",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",
14-323,14-323,1,1242,"Grapes, red","grapes, red 21 samples, seedless, autumn and winter, including crimson, flame","21 samples, seedless, autumn and winter, including Crimson, Flame",FA,,"DH, Nutrient analysis of fruit and vegetables, 2013",
