food_id,food_code,duplicate_code_sequence,source_row_index,food_name,search_name,description,group_code,previous_code,main_data_references,footnote
11-775,11-775,1,440,"Breakfast cereal, shredded wheat type, unfortified","breakfast cereal, shredded wheat type, unfortified 10 samples, 4 products, including shredded wheat and bitesize and own brand","10 samples, 4 products, including Shredded Wheat and bitesize and own brand",AI,11-499,"LGC, Nutrient survey of breakfast cereals, 2004",
11-778,11-778,1,441,"Breakfast cereal, Shredded Wheat, honey nut, Nestle","breakfast cereal, shredded wheat, honey nut, nestle 6 samples, 1 product","6 samples, 1 product",AI,,"LGC, Nutrient survey of breakfast cereals, 2004",
11-762,11-762,1,442,"Breakfast cereal, wheat and multigrain, chocolate flavoured, fortified","breakfast cereal, wheat and multigrain, chocolate flavoured, fortified 10 samples, 4 products, including weetos, nesquick, coco shreddies and own brands","10 samples, 4 products, including Weetos, Nesquick, Coco Shreddies and own brands",AI,50-092,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-773,11-773,1,443,"Breakfast cereal, wheat biscuits, Weetabix type, fortified","breakfast cereal, wheat biscuits, weetabix type, fortified 10 samples, 6 products, including weetabix and own brands","10 samples, 6 products, including Weetabix and own brands",AI,11-505,"LGC, Nutrient survey of breakfast cereals, 2004; and industry data, 2013",
11-774,11-774,1,444,"Breakfast cereal, wheat biscuits, Weetabix type, unfortified","breakfast cereal, wheat biscuits, weetabix type, unfortified 6 samples, 3 products, organic and value products","6 samples, 3 products, organic and value products",AI,,Nutrient survey of breakfast cereals 2004,
16-006,16-006,1,445,"Bream, Sea, raw","bream, sea, raw literature sources",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",
15-700,15-700,1,446,"Broccoli in cheese sauce, made with semi-skimmed milk, homemade","broccoli in cheese sauce, made with semi-skimmed milk, homemade recipe from review of recipe collection",Recipe from review of recipe collection,DR,15-423,Updated 2014,
15-701,15-701,1,447,"Broccoli in cheese sauce, made with skimmed milk, homemade","broccoli in cheese sauce, made with skimmed milk, homemade recipe from review of recipe collection",Recipe from review of recipe collection,DR,15-424,Updated 2014,
15-702,15-702,1,448,"Broccoli in cheese sauce, made with whole milk, homemade","broccoli in cheese sauce, made with whole milk, homemade recipe from review of recipe collection",Recipe from review of recipe collection,DR,15-422,Updated 2014,
13-583,13-583,1,449,"Broccoli, green, boiled in salted water","broccoli, green, boiled in salted water 22 samples, autumn and winter, uk grown and imported, pre-packed and loose","22 samples, autumn and winter, UK grown and imported, pre-packed and loose",DG,13-171,"DH, Nutrient analysis of fresh and processed fruit and vegetables, 2013",
13-503,13-503,1,450,"Broccoli, green, boiled in unsalted water","broccoli, green, boiled in unsalted water as raw, boiled for 3-8 minutes, calabrese","As raw, boiled for 3-8 minutes, Calabrese",DG,13-172,"DH, Nutrient analysis of fruit and vegetables, 2013",
13-502,13-502,1,451,"Broccoli, green, raw","broccoli, green, raw 22 samples, autumn and winter, uk grown and imported, pre-packed and loose, calabrese","22 samples, autumn and winter, UK grown and imported, pre-packed and loose, Calabrese",DG,13-170,"DH, Nutrient analysis of fruit and vegetables, 2013",
13-504,13-504,1,452,"Broccoli, green, steamed","broccoli, green, steamed as raw, steamed for 3-9 minutes, calabrese","As raw, steamed for 3-9 minutes, Calabrese",DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",
13-176,13-176,1,453,"Broccoli, purple sprouting, boiled in unsalted water","broccoli, purple sprouting, boiled in unsalted water based on boiled in salted water",Based on boiled in salted water,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
13-174,13-174,1,454,"Broccoli, purple sprouting, raw","broccoli, purple sprouting, raw tough stems and coarse leaves removed",Tough stems and coarse leaves removed,DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
17-706,17-706,1,455,Brown fruity sauce,"brown fruity sauce 10 bottles, 4 brands","10 bottles, 4 brands",WCN,17-293,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",
17-678,17-678,1,456,"Brown sauce, reduced salt/sugar","brown sauce, reduced salt/sugar estimated from brown sauce and label data",Estimated from brown sauce and label data,WCN,,"LFRA, Nutrient analysis of miscellaneous foods, 1992; and industry data, 2013",
11-1127,11-1127,1,457,"Brownies, chocolate, homemade","brownies, chocolate, homemade recipe",Recipe,AN,,Updated 2014,
13-630,13-630,1,458,"Brussels sprouts, boiled in unsalted water","brussels sprouts, boiled in unsalted water 11 samples, uk, including standard, peeled and baby. base trimmed and outer leaves removed, boiled for 4-10 minutes","11 samples, UK, including standard, peeled and baby. Base trimmed and outer leaves removed, boiled for 4-10 minutes",DG,13-179,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",
13-177,13-177,1,459,"Brussels sprouts, raw","brussels sprouts, raw base trimmed, outer leaves removed","Base trimmed, outer leaves removed",DG,50-746,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",
15-704,15-704,1,460,"Bubble and squeak, fried in rapeseed oil, homemade","bubble and squeak, fried in rapeseed oil, homemade fried cabbage and potato. recipe from wiles et al, 1980","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,15-383,Updated 2014,
15-703,15-703,1,461,"Bubble and squeak, fried in sunflower oil, homemade","bubble and squeak, fried in sunflower oil, homemade fried cabbage and potato. recipe from wiles et al, 1980","Fried cabbage and potato. Recipe from Wiles et al, 1980",DR,15-426,Updated 2014,
11-006,11-006,1,462,"Buckwheat, groats","buckwheat, groats literature sources",Literature sources,AA,,"Cereals and Cereal Products Supplement, 1988. Reviewed 2014",
17-823,17-823,1,463,"Build up, powder, shake, assorted flavours","build up, powder, shake, assorted flavours manufacturer's data (nestlé). average of chocolate, strawberry, banana and vanilla flavours","Manufacturer's data (Nestlé). Average of chocolate, strawberry, banana and vanilla flavours",PAA,17-534,Industry data 2013; some minerals estimated from MW5,
17-728,17-728,1,464,"Build-up powder, soup, assorted flavours","build-up powder, soup, assorted flavours manufacturer's data (nestlé). average of chicken, vegetable, tomato and potato & leek flavours","Manufacturer's data (Nestlé). Average of chicken, vegetable, tomato and potato & leek flavours",PAA,17-535,"Industry data, 2013",
19-651,19-651,1,465,"Burger, beef, 62-85% beef, raw","burger, beef, 62-85% beef, raw 10 samples, 6 brands containing onion, frozen and chilled","10 samples, 6 brands containing onion, frozen and chilled",MBG,19-042,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",
19-546,19-546,1,466,"Burger, beef, 62-85%, beef, grilled","burger, beef, 62-85%, beef, grilled beefburgers with added onion. 10 samples, 6 brands, frozen and chilled","Beefburgers with added onion. 10 samples, 6 brands, frozen and chilled",MBG,19-043,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",
19-490,19-490,1,467,"Burger, beef, 98-99% beef, fried in vegetable oil","burger, beef, 98-99% beef, fried in vegetable oil 8 samples, 3 brands, chilled and frozen","8 samples, 3 brands, chilled and frozen",MBG,19-029,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",
19-491,19-491,1,468,"Burger, beef, 98-99% beef, grilled","burger, beef, 98-99% beef, grilled 8 samples, 3 brands, chilled and frozen","8 samples, 3 brands, chilled and frozen",MBG,19-030,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",
19-492,19-492,1,469,"Burger, beef, 98-99% beef, raw","burger, beef, 98-99% beef, raw 8 samples, 3 brands, chilled and frozen","8 samples, 3 brands, chilled and frozen",MBG,19-309 50-503,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013. Fibre estimated from product labels",
19-553,19-553,1,470,"Burger, beef, fried in rapeseed oil, homemade","burger, beef, fried in rapeseed oil, homemade recipe",Recipe,MR,19-354,Updated 2014,
19-555,19-555,1,471,"Burger, beef, grilled, homemade","burger, beef, grilled, homemade recipe",Recipe,MR,19-356,Updated 2014,
19-554,19-554,1,472,"Burger, beef, with bun, fried in rapeseed oil, homemade","burger, beef, with bun, fried in rapeseed oil, homemade recipe",Recipe,MR,19-356,Updated 2014,
19-556,19-556,1,473,"Burger, beef, with bun, grilled, homemade","burger, beef, with bun, grilled, homemade recipe",Recipe,MR,19-357,Updated 2014,
19-493,19-493,1,474,"Burger, Big Mac, takeaway","burger, big mac, takeaway includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles","Includes two beefburgers, bun, sauce, cheese, lettuce, onions and pickles",MBG,19-310,"Industry data (McDonald's), 2013",
19-545,19-545,1,475,"Burger, cheeseburger, takeaway","burger, cheeseburger, takeaway includes beefburger, bun, cheese, mustard, ketchup, onions and pickles","Includes beefburger, bun, cheese, mustard, ketchup, onions and pickles",MBG,19-314,"Industry data, 1998, 2013; and calculated from ingredients",
19-315,19-315,1,476,"Burger, chicken, takeaway","burger, chicken, takeaway includes chicken burger, bun, lettuce and mayonnaise","Includes chicken burger, bun, lettuce and mayonnaise",MBG,19-041,"Reviewed 2013. Meat Products and Dishes Supplement, 1996. Proximates as weighted average of manufacturer data (McDonalds, KFC, Wimpy (5:4:1))",
18-502,18-502,1,477,"Burger, chicken/turkey, coated, retail, grilled","burger, chicken/turkey, coated, retail, grilled 10 samples, 7 products, breaded and battered","10 samples, 7 products, breaded and battered",MCA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",
19-544,19-544,1,478,"Burger, hamburger, takeaway","burger, hamburger, takeaway includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles","Includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-311,"Industry data (Burger King), 2013; and calculation from ingredient proportions",
19-487,19-487,1,479,"Burger, Quarter Pounder with cheese, takeaway","burger, quarter pounder with cheese, takeaway portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese","Portion includes a quarter pound beefburger, ketchup, mustard, onions, pickles and slice of cheese",MBG,19-312,"Industry data (McDonald's), 2013",
19-514,19-514,1,480,"Burger, Whopper, takeaway","burger, whopper, takeaway portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles","Portion includes bun, beefburger, mayonnaise, lettuce, tomato, ketchup, onions and pickles",MBG,19-313,"Industry data (Burger King), 2013; and calculation from ingredient proportions",
17-685,17-685,1,481,"Butter, salted","butter, salted average of uk/irish, danish, french, new zealand","Average of UK/Irish, Danish, French, New Zealand",OA,17-485,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998; and industry data, 2013. Fats and fatty acids as Fatty Acid Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",
17-655,17-655,1,482,"Butter, spreadable (75-80% fat)","butter, spreadable (75-80% fat) 9 samples, 7 products, containing butter and vegetable oil, including anchor, lurpak, country life and own brand equivalents","9 samples, 7 products, containing butter and vegetable oil, including Anchor, Lurpak, Country Life and own brand equivalents",OA,17-486,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",
17-656,17-656,1,483,"Butter, spreadable, light (60% fat)","butter, spreadable, light (60% fat) 11 samples, 7 products, containing vegetable oil, including anchor lighter, lurpak lighter, country life lighter and own brand equivalents","11 samples, 7 products, containing vegetable oil, including Anchor Lighter, Lurpak Lighter, Country Life Lighter and own brand equivalents",OA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2011",
17-661,17-661,1,484,"Butter, unsalted","butter, unsalted average of uk/irish, danish, french, new zealand","Average of UK/Irish, Danish, French, New Zealand",OA,,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats and fatty acids as FA Supplement 17-013, 1998. Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",
17-001,17-001,1,485,"Butteroil, unsalted","butteroil, unsalted calculated from butter",Calculated from butter,OB,,"Miscellaneous Foods Supplement, 1994",
19-631,19-631,1,486,"Cabbage leaves, stuffed with lamb and rice, homemade","cabbage leaves, stuffed with lamb and rice, homemade recipe",Recipe,MR,19-437,Updated 2014,
13-581,13-581,1,487,"Cabbage, average, boiled in unsalted water","cabbage, average, boiled in unsalted water average of green and white cabbage",Average of green and white cabbage,DG,,"DH, Nutrient analysis of fruit and vegetables, 2013",
13-582,13-582,1,488,"Cabbage, average, raw","cabbage, average, raw average of white (13-509) and green (13-510) cabbage",Average of white (13-509) and green (13-510) cabbage,DG,13-468,"DH, Nutrient analysis of fruit and vegetables, 2013",
13-187,13-187,1,489,"Cabbage, Chinese, raw","cabbage, chinese, raw base trimmed, outer leaves removed","Base trimmed, outer leaves removed",DG,,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",
13-511,13-511,1,490,"Cabbage, green, boiled in unsalted water","cabbage, green, boiled in unsalted water as raw, boiled for 4-8 minutes","As raw, boiled for 4-8 minutes",DG,13-444,"DH, Nutrient analysis of fruit and vegetables, 2013",
